"","InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"27","536370","22728","ALARM CLOCK BAKELIKE PINK",24,"2010-12-01 08:45:00",3.75,12583,"France"
"28","536370","22727","ALARM CLOCK BAKELIKE RED ",24,"2010-12-01 08:45:00",3.75,12583,"France"
"29","536370","22726","ALARM CLOCK BAKELIKE GREEN",12,"2010-12-01 08:45:00",3.75,12583,"France"
"30","536370","21724","PANDA AND BUNNIES STICKER SHEET",12,"2010-12-01 08:45:00",0.85,12583,"France"
"31","536370","21883","STARS GIFT TAPE ",24,"2010-12-01 08:45:00",0.65,12583,"France"
"32","536370","10002","INFLATABLE POLITICAL GLOBE ",48,"2010-12-01 08:45:00",0.85,12583,"France"
"33","536370","21791","VINTAGE HEADS AND TAILS CARD GAME ",24,"2010-12-01 08:45:00",1.25,12583,"France"
"34","536370","21035","SET/2 RED RETROSPOT TEA TOWELS ",18,"2010-12-01 08:45:00",2.95,12583,"France"
"35","536370","22326","ROUND SNACK BOXES SET OF4 WOODLAND ",24,"2010-12-01 08:45:00",2.95,12583,"France"
"36","536370","22629","SPACEBOY LUNCH BOX ",24,"2010-12-01 08:45:00",1.95,12583,"France"
"37","536370","22659","LUNCH BOX I LOVE LONDON",24,"2010-12-01 08:45:00",1.95,12583,"France"
"38","536370","22631","CIRCUS PARADE LUNCH BOX ",24,"2010-12-01 08:45:00",1.95,12583,"France"
"39","536370","22661","CHARLOTTE BAG DOLLY GIRL DESIGN",20,"2010-12-01 08:45:00",0.85,12583,"France"
"40","536370","21731","RED TOADSTOOL LED NIGHT LIGHT",24,"2010-12-01 08:45:00",1.65,12583,"France"
"41","536370","22900"," SET 2 TEA TOWELS I LOVE LONDON ",24,"2010-12-01 08:45:00",2.95,12583,"France"
"42","536370","21913","VINTAGE SEASIDE JIGSAW PUZZLES",12,"2010-12-01 08:45:00",3.75,12583,"France"
"43","536370","22540","MINI JIGSAW CIRCUS PARADE ",24,"2010-12-01 08:45:00",0.42,12583,"France"
"44","536370","22544","MINI JIGSAW SPACEBOY",24,"2010-12-01 08:45:00",0.42,12583,"France"
"45","536370","22492","MINI PAINT SET VINTAGE ",36,"2010-12-01 08:45:00",0.65,12583,"France"
"46","536370","POST","POSTAGE",3,"2010-12-01 08:45:00",18,12583,"France"
"5253","536852","22549","PICTURE DOMINOES",12,"2010-12-03 09:51:00",1.45,12686,"France"
"5254","536852","22544","MINI JIGSAW SPACEBOY",24,"2010-12-03 09:51:00",0.42,12686,"France"
"5255","536852","22539","MINI JIGSAW DOLLY GIRL",24,"2010-12-03 09:51:00",0.42,12686,"France"
"5256","536852","22661","CHARLOTTE BAG DOLLY GIRL DESIGN",10,"2010-12-03 09:51:00",0.85,12686,"France"
"5257","536852","21791","VINTAGE HEADS AND TAILS CARD GAME ",12,"2010-12-03 09:51:00",1.25,12686,"France"
"5258","536852","21786","POLKADOT RAIN HAT ",24,"2010-12-03 09:51:00",0.42,12686,"France"
"5259","536852","POST","POSTAGE",1,"2010-12-03 09:51:00",18,12686,"France"
"6662","536974","15056BL","EDWARDIAN PARASOL BLACK",9,"2010-12-03 13:59:00",5.95,12682,"France"
"6663","536974","15056P","EDWARDIAN PARASOL PINK",3,"2010-12-03 13:59:00",5.95,12682,"France"
"6664","536974","20679","EDWARDIAN PARASOL RED",6,"2010-12-03 13:59:00",5.95,12682,"France"
"6665","536974","21915","RED  HARMONICA IN BOX ",12,"2010-12-03 13:59:00",1.25,12682,"France"
"6666","536974","22659","LUNCH BOX I LOVE LONDON",12,"2010-12-03 13:59:00",1.95,12682,"France"
"6667","536974","22352","LUNCH BOX WITH CUTLERY RETROSPOT ",12,"2010-12-03 13:59:00",2.55,12682,"France"
"6668","536974","22892","SET OF SALT AND PEPPER TOADSTOOLS",12,"2010-12-03 13:59:00",1.25,12682,"France"
"6669","536974","22027","TEA PARTY BIRTHDAY CARD",12,"2010-12-03 13:59:00",0.42,12682,"France"
"6670","536974","20749","ASSORTED COLOUR MINI CASES",2,"2010-12-03 13:59:00",7.95,12682,"France"
"6671","536974","20750","RED RETROSPOT MINI CASES",2,"2010-12-03 13:59:00",7.95,12682,"France"
"6672","536974","21700","BIG DOUGHNUT FRIDGE MAGNETS",12,"2010-12-03 13:59:00",0.85,12682,"France"
"6673","536974","22748","POPPY'S PLAYHOUSE KITCHEN",6,"2010-12-03 13:59:00",2.1,12682,"France"
"6674","536974","22080","RIBBON REEL POLKADOTS ",10,"2010-12-03 13:59:00",1.65,12682,"France"
"6675","536974","20725","LUNCH BAG RED RETROSPOT",10,"2010-12-03 13:59:00",1.65,12682,"France"
"6676","536974","20726","LUNCH BAG WOODLAND",10,"2010-12-03 13:59:00",1.65,12682,"France"
"6677","536974","POST","POSTAGE",2,"2010-12-03 13:59:00",18,12682,"France"
"7892","537065","22837","HOT WATER BOTTLE BABUSHKA ",8,"2010-12-05 11:57:00",4.65,12567,"France"
"7893","537065","22846","BREAD BIN DINER STYLE RED ",1,"2010-12-05 11:57:00",16.95,12567,"France"
"7894","537065","22892","SET OF SALT AND PEPPER TOADSTOOLS",12,"2010-12-05 11:57:00",1.25,12567,"France"
"7895","537065","22968","ROSE COTTAGE KEEPSAKE BOX ",8,"2010-12-05 11:57:00",8.5,12567,"France"
"7896","537065","84678","CLASSICAL ROSE SMALL VASE",6,"2010-12-05 11:57:00",2.55,12567,"France"
"7897","537065","20665","RED RETROSPOT PURSE ",6,"2010-12-05 11:57:00",2.95,12567,"France"
"7898","537065","21786","POLKADOT RAIN HAT ",24,"2010-12-05 11:57:00",0.42,12567,"France"
"7899","537065","21787","RAIN PONCHO RETROSPOT",24,"2010-12-05 11:57:00",0.85,12567,"France"
"7900","537065","20750","RED RETROSPOT MINI CASES",6,"2010-12-05 11:57:00",7.95,12567,"France"
"7901","537065","20749","ASSORTED COLOUR MINI CASES",2,"2010-12-05 11:57:00",7.95,12567,"France"
"7902","537065","21774","DECORATIVE CATS BATHROOM BOTTLE",12,"2010-12-05 11:57:00",1.25,12567,"France"
"7903","537065","21121","SET/10 RED POLKADOT PARTY CANDLES",24,"2010-12-05 11:57:00",1.25,12567,"France"
"7904","537065","21439","BASKET OF TOADSTOOLS",12,"2010-12-05 11:57:00",1.25,12567,"France"
"7905","537065","47566","PARTY BUNTING",5,"2010-12-05 11:57:00",4.65,12567,"France"
"7906","537065","22727","ALARM CLOCK BAKELIKE RED ",4,"2010-12-05 11:57:00",3.75,12567,"France"
"7907","537065","22726","ALARM CLOCK BAKELIKE GREEN",4,"2010-12-05 11:57:00",3.75,12567,"France"
"7908","537065","22728","ALARM CLOCK BAKELIKE PINK",4,"2010-12-05 11:57:00",3.75,12567,"France"
"7909","537065","22729","ALARM CLOCK BAKELIKE ORANGE",4,"2010-12-05 11:57:00",3.75,12567,"France"
"7910","537065","22243","5 HOOK HANGER RED MAGIC TOADSTOOL",12,"2010-12-05 11:57:00",1.65,12567,"France"
"7911","537065","22467","GUMBALL COAT RACK",6,"2010-12-05 11:57:00",2.55,12567,"France"
"7912","537065","22318","FIVE HEART HANGING DECORATION",6,"2010-12-05 11:57:00",2.95,12567,"France"
"7913","537065","21195","PINK  HONEYCOMB PAPER BALL ",6,"2010-12-05 11:57:00",2.1,12567,"France"
"7914","537065","20725","LUNCH BAG RED RETROSPOT",10,"2010-12-05 11:57:00",1.65,12567,"France"
"7915","537065","20726","LUNCH BAG WOODLAND",20,"2010-12-05 11:57:00",1.65,12567,"France"
"7916","537065","20728","LUNCH BAG CARS BLUE",10,"2010-12-05 11:57:00",1.65,12567,"France"
"7917","537065","21559","STRAWBERRY LUNCH BOX WITH CUTLERY",6,"2010-12-05 11:57:00",2.55,12567,"France"
"7918","537065","22326","ROUND SNACK BOXES SET OF4 WOODLAND ",6,"2010-12-05 11:57:00",2.95,12567,"France"
"7919","537065","22352","LUNCH BOX WITH CUTLERY RETROSPOT ",6,"2010-12-05 11:57:00",2.55,12567,"France"
"7920","537065","21555","CERAMIC STRAWBERRY TRINKET TRAY",6,"2010-12-05 11:57:00",2.55,12567,"France"
"7921","537065","21533","RETROSPOT LARGE MILK JUG",3,"2010-12-05 11:57:00",4.95,12567,"France"
"7922","537065","21539","RED RETROSPOT BUTTER DISH",3,"2010-12-05 11:57:00",4.95,12567,"France"
"7923","537065","22423","REGENCY CAKESTAND 3 TIER",2,"2010-12-05 11:57:00",12.75,12567,"France"
"7924","537065","84997A","GREEN 3 PIECE POLKADOT CUTLERY SET",6,"2010-12-05 11:57:00",3.75,12567,"France"
"7925","537065","84997B","RED 3 PIECE RETROSPOT CUTLERY SET",6,"2010-12-05 11:57:00",3.75,12567,"France"
"7926","537065","84997C","BLUE 3 PIECE POLKADOT CUTLERY SET",6,"2010-12-05 11:57:00",3.75,12567,"France"
"7927","537065","84279P","CHERRY BLOSSOM  DECORATIVE FLASK",4,"2010-12-05 11:57:00",3.75,12567,"France"
"7928","537065","22634","CHILDS BREAKFAST SET SPACEBOY ",2,"2010-12-05 11:57:00",9.95,12567,"France"
"7929","537065","22635","CHILDS BREAKFAST SET DOLLY GIRL ",2,"2010-12-05 11:57:00",9.95,12567,"France"
"7930","537065","22636","CHILDS BREAKFAST SET CIRCUS PARADE",2,"2010-12-05 11:57:00",8.5,12567,"France"
"7931","537065","22180","RETROSPOT LAMP",4,"2010-12-05 11:57:00",9.95,12567,"France"
"7932","537065","21980","PACK OF 12 RED RETROSPOT TISSUES ",24,"2010-12-05 11:57:00",0.29,12567,"France"
"7933","537065","21981","PACK OF 12 WOODLAND TISSUES ",24,"2010-12-05 11:57:00",0.29,12567,"France"
"7934","537065","21982","PACK OF 12 SUKI TISSUES ",24,"2010-12-05 11:57:00",0.29,12567,"France"
"7935","537065","22614","PACK OF 12 SPACEBOY TISSUES",24,"2010-12-05 11:57:00",0.29,12567,"France"
"7936","537065","22615","PACK OF 12 CIRCUS PARADE TISSUES ",24,"2010-12-05 11:57:00",0.29,12567,"France"
"7937","537065","84870B","BLUE GEISHA GIRL ",4,"2010-12-05 11:57:00",3.75,12567,"France"
"7938","537065","84870C","GREEN GEISHA GIRL ",4,"2010-12-05 11:57:00",3.75,12567,"France"
"7939","537065","22554","PLASTERS IN TIN WOODLAND ANIMALS",12,"2010-12-05 11:57:00",1.65,12567,"France"
